player,team_id,yr,prediction
"Nurkic,Jusuf",DEN,2016,2
"Okafor,Jahlil",PHI,2016,2
"Randolph,Zach",MEM,2016,2
"Scola,Luis",TOR,2016,2
"Towns,Karl-Anthony",MIN,2016,2
"Vucevic,Nikola",ORL,2016,2
"Anderson,Alan",BRK,2015,3
"Ariza,Trevor",HOU,2015,3
"Augustin,D.J.",TOT,2015,3
"Augustin,D.J.",DET,2015,3
"Augustin,D.J.",OKC,2015,3
"Barnes,Matt",LAC,2015,3
"Batum,Nicolas",POR,2015,3
"Bayless,Jerryd",MIL,2015,3
"Bazemore,Kent",ATL,2015,3
"Beverley,Patrick",HOU,2015,3
"Blake,Steve",POR,2015,3
"Brewer,Corey",TOT,2015,3
"Brewer,Corey",MIN,2015,3
"Brewer,Corey",HOU,2015,3
"Brown,Lorenzo",MIN,2015,3
"Brown,Markel",BRK,2015,3
"Brown,Shannon",MIA,2015,3
"Butler,Caron",DET,2015,3
"Calderon,Jose",NYK,2015,3
"Chalmers,Mario",MIA,2015,3
"Cole,Norris",TOT,2015,3
"Cole,Norris",MIA,2015,3
"Cole,Norris",NOP,2015,3
"Cunningham,Dante",NOP,2015,3
"Dellavedova,Matthew",CLE,2015,3
"Drew,Larry",PHI,2015,3
"Dudley,Jared",MIL,2015,3
"Dunleavy,Mike",CHI,2015,3
"Exum,Dante",UTA,2015,3
"Foye,Randy",DEN,2015,3
"Frazier,Tim",TOT,2015,3
"Frazier,Tim",PHI,2015,3
"Frye,Channing",ORL,2015,3
"Galloway,Langston",NYK,2015,3
"Granger,Danny",MIA,2015,3
"Green,Danny",SAS,2015,3
"Green,Willie",ORL,2015,3
"Hairston,P.J.",CHO,2015,3
"Harris,Devin",DAL,2015,3
"Hill,George",IND,2015,3
"Hill,Solomon",IND,2015,3
"Hinrich,Kirk",CHI,2015,3
"Hummel,Robbie",MIN,2015,3
"Iguodala,Andre",GSW,2015,3
"Ingles,Joe",UTA,2015,3
"Jefferson,Richard",DAL,2015,3
"Jennings,Brandon",DET,2015,3
"Johnson,Chris",TOT,2015,3
"Johnson,Chris",PHI,2015,3
"Johnson,Chris",UTA,2015,3
"Johnson,Chris",MIL,2015,3
"Johnson,Tyler",MIA,2015,3
"Johnson,Wesley",LAL,2015,3
"Karasev,Sergey",BRK,2015,3
"Kelly,Ryan",LAL,2015,3
"Kilpatrick,Sean",MIN,2015,3
"Korver,Kyle",ATL,2015,3
"Larkin,Shane",NYK,2015,3
"Lawson,Ty",DEN,2015,3
"Lee,Courtney",MEM,2015,3
"Mack,Shelvin",ATL,2015,3
"Matthews,Wesley",POR,2015,3
"Mayo,O.J.",MIL,2015,3
"Mbah a Moute,Luc",PHI,2015,3
"McCallum,Ray",SAC,2015,3
"McRoberts,Josh",MIA,2015,3
"Miller,Andre",TOT,2015,3
"Miller,Andre",SAC,2015,3
"Millsap,Elijah",UTA,2015,3
"Napier,Shabazz",MIA,2015,3
"Nelson,Jameer",TOT,2015,3
"Nelson,Jameer",DAL,2015,3
"Nelson,Jameer",BOS,2015,3
"Nelson,Jameer",DEN,2015,3
"Papanikolaou,Kostas",HOU,2015,3
"Patterson,Patrick",TOR,2015,3
"Pondexter,Quincy",TOT,2015,3
"Pondexter,Quincy",MEM,2015,3
"Pondexter,Quincy",NOP,2015,3
"Price,Ronnie",LAL,2015,3
"Prigioni,Pablo",TOT,2015,3
"Prigioni,Pablo",NYK,2015,3
"Prigioni,Pablo",HOU,2015,3
"Prince,Tayshaun",TOT,2015,3
"Prince,Tayshaun",MEM,2015,3
"Prince,Tayshaun",BOS,2015,3
"Prince,Tayshaun",DET,2015,3
"Rivers,Austin",TOT,2015,3
"Rivers,Austin",NOP,2015,3
"Rivers,Austin",LAC,2015,3
"Roberson,Andre",OKC,2015,3
"Rudez,Damjan",IND,2015,3
"Sefolosha,Thabo",ATL,2015,3
"Shumpert,Iman",TOT,2015,3
"Shumpert,Iman",NYK,2015,3
"Shumpert,Iman",CLE,2015,3
"Singler,Kyle",TOT,2015,3
"Singler,Kyle",DET,2015,3
"Singler,Kyle",OKC,2015,3
"Sloan,Donald",IND,2015,3
"Smart,Marcus",BOS,2015,3
"Smith,J.R.",TOT,2015,3
"Smith,J.R.",NYK,2015,3
"Smith,J.R.",CLE,2015,3
