Rk,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
51,J. Butler | P. Gasol | N. Mirotic | D. Rose | T. Snell,CHI,2015-16,27,202.4,410,400,96,-19,-21,-0.025,18,26,0.106,0,18,7,0.173,-2
52,T. Ariza | P. Beverley | C. Brewer | J. Harden | D. Howard,HOU,2015-16,42,201.6,404,411,97,-15,-29,-0.005,11,22,0.026,0.016,-15,8,-0.161,-34
53,D. Booker | T. Chandler | A. Len | R. Price | P. Tucker,PHO,2015-16,14,199.6,392,391,94.2,-1,7,-0.011,-12,-26,-0.021,-0.03,3,8,-0.038,-11
54,M. Barnes | M. Conley | M. Gasol | J. Green | C. Lee,MEM,2015-16,27,199.1,378,380,91.4,-1,-10,0.01,-1,-10,0.027,0.01,-17,-21,0.002,-20
55,M. Dellavedova | L. James | K. Love | J. Smith | T. Thompson,CLE,2015-16,46,198.6,373,380,91,27,29,0.041,28,48,0.103,0.078,15,22,-0.019,97
56,K. Bryant | J. Clarkson | R. Hibbert | J. Randle | L. Williams,LAL,2015-16,34,198.4,397,397,96.1,-49,-42,-0.082,-7,-15,-0.015,-0.087,5,-7,0.11,-100
57,B. Beal | M. Gortat | M. Morris | O. Porter | J. Wall,WAS,2015-16,18,197.7,405,400,97.7,10,0,0.027,-1,-5,0.01,0.026,15,13,0.081,34
58,L. Deng | G. Dragic | J. Johnson | A. Stoudemire | D. Wade,MIA,2015-16,16,196.8,373,370,90.6,23,-8,0.08,7,-2,0.123,0.091,-17,-32,0.118,36
59,T. Ariza | P. Beverley | C. Capela | J. Harden | D. Howard,HOU,2015-16,23,196.5,370,369,90.2,6,-3,0.022,-9,-16,-0.028,0.009,34,58,-0.094,37
60,A. Crabbe | E. Davis | G. Henderson | M. Leonard | C. McCollum,POR,2015-16,35,193.7,379,375,93.4,8,4,0.019,-5,13,-0.102,0.01,-5,-6,-0.005,6
