Rk,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
66,K. Durant | S. Ibaka | E. Kanter | D. Waiters | R. Westbrook,OKC,2015-16,39,129.2,253,263,95.9,12,20,0.009,0,3,-0.024,0.005,12,4,0.107,36
67,G. Dieng | S. Muhammad | R. Rubio | K. Towns | A. Wiggins,MIN,2015-16,24,69.5,139,142,97.1,5,9,0.007,-3,-12,0.019,-0.008,28,28,0.196,35
68,W. Cauley-Stein | D. Collison | D. Cousins | R. Gay | R. Rondo,SAC,2015-16,13,70.9,146,151,100.6,9,-7,0.101,-7,-21,-0.055,0.075,24,26,0.101,35
69,A. Gordon | S. Napier | A. Nicholson | V. Oladipo | J. Smith,ORL,2015-16,8,48.2,94,91,92.1,17,10,0.156,0,-7,0.069,0.149,1,-3,0.174,35
70,R. Anderson | A. Davis | T. Evans | E. Gordon | J. Holiday,NOP,2015-16,10,32.8,73,64,100.1,13,9,0.154,1,-5,0.137,0.155,7,11,-0.097,34
71,B. Beal | M. Gortat | M. Morris | O. Porter | J. Wall,WAS,2015-16,18,197.7,405,400,97.7,10,0,0.027,-1,-5,0.01,0.026,15,13,0.081,34
72,L. Allen | M. Ellis | P. George | I. Mahinmi | C. Miles,IND,2015-16,6,27.8,55,56,95.7,12,10,0.158,8,1,0.371,0.225,2,1,0.114,34
73,G. Dieng | Z. LaVine | R. Rubio | K. Towns | A. Wiggins,MIN,2015-16,47,647.5,1317,1303,97.1,-3,-74,0.03,-44,-106,0,0.014,84,84,0.052,34
74,A. Baynes | K. Caldwell-Pope | B. Jennings | S. Johnson | A. Tolliver,DET,2015-16,12,59.4,117,115,93.7,8,0,0.078,12,21,0.168,0.136,6,6,0.05,34
75,L. Aldridge | D. Green | K. Leonard | P. Mills | D. West,SAS,2015-16,18,19.8,36,37,88.6,12,6,0.307,3,-3,0.409,0.347,6,7,0.15,33
76,J. Dudley | M. Gortat | R. Sessions | G. Temple | J. Wall,WAS,2015-16,16,45.2,90,83,91.9,20,23,0.143,4,5,0.138,0.16,-11,-16,0.088,33
77,K. Caldwell-Pope | A. Drummond | R. Jackson | M. Morris | A. Tolliver,DET,2015-16,53,168.9,332,327,93.7,15,16,0.026,9,15,0.053,0.039,-6,12,-0.165,33
78,R. Covington | J. Grant | N. Noel | I. Smith | H. Thompson,PHI,2015-16,12,50.5,103,103,97.9,17,-3,0.194,10,5,0.272,0.249,-11,-5,-0.268,33
79,L. Allen | M. Ellis | P. George | G. Hill | I. Mahinmi,IND,2015-16,43,333.2,645,647,93.1,13,-22,0.039,-13,-46,0.018,0.03,20,30,-0.016,33
80,A. Horford | K. Korver | P. Millsap | T. Sefolosha | J. Teague,ATL,2015-16,56,235,473,461,95.4,13,-21,0.052,11,19,0.04,0.067,-5,-12,0.047,32
81,M. Dellavedova | L. James | K. Love | I. Shumpert | J. Smith,CLE,2015-16,16,28.9,58,59,97.1,15,3,0.27,5,0,0.278,0.315,-3,1,-0.183,32
82,W. Cauley-Stein | D. Cousins | R. Gay | B. McLemore | R. Rondo,SAC,2015-16,15,112.2,232,229,98.6,11,2,0.05,-5,-22,0.05,0.037,15,20,0.011,32
83,G. Antetokounmpo | M. Carter-Williams | J. Henson | K. Middleton | J. Parker,MIL,2015-16,17,60.8,121,123,96.3,11,-13,0.157,-4,-29,0.064,0.141,14,10,0.19,32
84,M. Dellavedova | C. Frye | L. James | I. Shumpert | T. Thompson,CLE,2015-16,12,35.3,72,72,97.9,13,2,0.188,9,8,0.278,0.255,-4,-10,0.135,31
85,N. Batum | P. Hairston | A. Jefferson | K. Walker | M. Williams,CHO,2015-16,14,161.6,319,320,94.9,5,16,-0.008,16,27,0.069,0.016,5,0,0.116,31
86,D. Augustin | W. Barton | J. Lauvergne | J. Nurkic | A. Toupane,DEN,2015-16,7,81.1,150,152,89.4,18,14,0.08,4,5,0.057,0.09,-9,-7,-0.113,31
87,J. Crawford | D. Jordan | C. Paul | P. Pierce | J. Redick,LAC,2015-16,28,83.5,168,165,95.8,9,-4,0.086,3,-1,0.096,0.1,10,21,-0.088,31
88,B. Bogdanovic | M. Brown | S. Larkin | B. Lopez | T. Young,BRK,2015-16,17,54.1,106,101,91.8,8,3,0.076,0,-10,0.174,0.074,15,18,0.033,31
89,N. Batum | M. Kidd-Gilchrist | K. Walker | M. Williams | C. Zeller,CHO,2015-16,4,70.8,139,141,94.9,5,-13,0.092,11,15,0.156,0.143,10,13,0.003,31
90,A. Bradley | A. Johnson | J. Sullinger | I. Thomas | E. Turner,BOS,2015-16,27,127.1,257,259,97.5,12,9,0.034,-11,-14,-0.096,0.008,18,24,-0.017,31
91,L. Allen | C. Budinger | G. Hill | J. Hill | R. Stuckey,IND,2015-16,16,91.9,173,173,90.3,14,9,0.062,-1,-5,0.029,0.057,3,5,-0.039,30
92,L. Barbosa | S. Curry | D. Green | A. Iguodala | M. Speights,GSW,2015-16,11,33.2,70,71,102,11,4,0.14,6,-2,0.351,0.182,2,2,0.022,30
93,T. Duncan | D. Green | K. Leonard | T. Parker | D. West,SAS,2015-16,21,81.6,152,149,88.5,8,-1,0.062,5,4,0.121,0.081,9,8,0.113,30
94,M. Belinelli | O. Casspi | D. Cousins | K. Koufos | R. Rondo,SAC,2015-16,16,55,121,120,105.2,6,-19,0.145,-2,-12,0.081,0.146,20,26,-0.062,30
95,N. Bjelica | T. Prince | R. Rubio | K. Towns | A. Wiggins,MIN,2015-16,21,67.5,131,127,91.8,6,2,0.045,-7,-21,-0.157,0.015,25,26,0.21,30
96,A. Ajinca | R. Anderson | N. Cole | A. Gee | J. Holiday,NOP,2015-16,13,36.7,77,74,98.7,12,9,0.126,4,-1,0.181,0.15,2,1,0.081,30
97,H. Barnes | S. Curry | D. Green | B. Rush | K. Thompson,GSW,2015-16,19,61.2,127,123,98,13,15,0.053,12,25,0.053,0.096,-9,-11,0.047,29
98,D. DeRozan | K. Lowry | N. Powell | J. Thompson | J. Valanciunas,TOR,2015-16,6,70.5,130,132,89.1,3,-18,0.095,9,7,0.234,0.139,14,17,-0.107,29
99,K. Humphries | K. Korver | P. Millsap | D. Schroder | T. Sefolosha,ATL,2015-16,10,15.3,34,31,101.8,14,6,0.4,3,0,0.429,0.442,-2,-10,0.571,29
100,R. Gobert | G. Hayward | R. Hood | T. Lyles | S. Mack,UTA,2015-16,17,78,141,140,86.5,4,5,0.015,5,0,0.125,0.033,16,18,0.14,29
